ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
677	13	0	0.2	4.4	40	0	2
678	2.3	0	0.2	0.2	16	0	2
679	3.3	0	0	0.2	40	0	2
680	14	0	0.2	2.7	40	0	2
681	0	0	0	0	0	0	3
682	58	0	0	46	160	40	2
683	14	0	0.2	3.4	40	0	2
684	14	0	0.2	3.4	40	0	2
685	14	0	0.2	3.4	40	0	2
686	14	0	0.2	3.4	40	0	2
687	4	0	0.2	2	40	0	2
688	4	0	0.2	2	40	0	2
689	3.5	0	0	1.8	40	0	2
690	59	0	0.2	43.5	160	0	2
691	0	0	0	0	0	0	3
692	0	0	0	0	0	0	3
693	59	0	0	43.5	160	0	2
694	59	0	0	43.5	160	0	2
695	2	0	0.2	0.234	0	0	2
696	5.5	0	0	4.05	16	0	1
697	0	0	0	0	0	0	3
698	0	0	0	0	0	0	3
699	5.5	0	0.2	4.05	16	0	2
700	5.5	0	0.2	4.05	16	0	2
701	16	0	0.2	11	40	0	2
702	10	0	0	4.6	40	0	2
703	0	0	0.2	0	0	0	1
704	10	0	0	4.6	40	0	2
705	0	0	0	0	0	0	3
706	8	0	0.2	3	0	0	2
707	10	0	0	4.6	40	0	2
708	33	0	0.2	26	40	46	2
709	4	0	0.2	1.1	40	37	2
710	4	0	0.2	1.1	40	37	2
711	4	0	0.2	1.1	40	37	2
712	4	0	0.2	1.1	40	29	2
713	0.2	0	0.2	0.015	2.5	46	2
714	4	0	0.2	3.2	2.5	46	2
715	4	0	0.2	3.2	2.5	46	2
716	4	0	0.2	3.5	10	60	2
717	0.2	0	0.2	0.002	10	29	2
718	4	0	0.2	0	10	29	1
719	10	0	0.2	4.9	40	17.5	2
720	350	0	0.2	0	0	0	1
721	0	0	0.2	0	0	0	3
722	350	0	0.2	0	0	0	1
723	0	0	0	0	0	0	3
724	350	0	0.2	0	0	0	1
725	0	0	0	0	0	0	3
726	6	0	0.2	0	0	0	1
727	0	0	0	0	0	0	3
728	6	0	0	0.5	0	0	2
729	0	0	0	0	0	0	3
730	4	0	0	0	0	0	1
